timestamp,side,entry,exit,reason,pnl,dailyPnL
2026-04-17T12:50:00.091Z,LONG,26469.75,26643.5,TP,347.5,347.5
2026-04-17T13:56:00.234Z,LONG,26733,26671.75,SL,-122.5,-122.5
2026-04-17T14:44:00.237Z,LONG,26768.75,26837.5,TP,137.5,137.5
2026-04-17T16:38:00.614Z,LONG,26840,26880,fixed_TP,40,40
2026-04-17T16:39:00.425Z,LONG,26840,26880,fixed_TP,40,80
2026-04-17T17:10:00.474Z,LONG,26873.25,26833.25,fixed_SL,-40,40
2026-04-17T17:10:00.624Z,LONG,26873.25,26833.25,runner_SL,-40,0
2026-04-17T18:23:00.454Z,SHORT,26798.5,26758.5,fixed_TP,40,40
2026-04-17T18:24:00.361Z,SHORT,26796,26756,fixed_TP,40,80
2026-04-17T20:51:00.447Z,LONG,26831.75,26832,EOD_FLATTEN,0.5,0
2026-04-20T14:43:00.431Z,SHORT,26732.5,26692.5,fixed_TP,40,0
2026-04-20T20:37:00.440Z,LONG,26747,26787,fixed_TP,40,0
2026-04-20T20:38:00.414Z,LONG,26758.25,26798.25,fixed_TP,40,0
2026-04-21T13:59:00.506Z,LONG,26770.5,26810.5,fixed_TP,40,0
2026-04-21T16:05:00.660Z,LONG,26741.75,26781.75,fixed_TP,40,0
2026-04-21T16:46:00.506Z,SHORT,26711.5,26671.5,fixed_TP,40,0
2026-04-21T17:01:00.467Z,SHORT,26707,26667,fixed_TP,40,0
2026-04-21T17:40:00.482Z,LONG,26662.5,26702.5,fixed_TP,40,0
2026-04-21T17:41:00.418Z,LONG,26667.75,26707.75,fixed_TP,40,0
2026-04-21T18:18:00.465Z,LONG,26724.75,26684.75,fixed_SL,-40,0
2026-04-21T18:56:00.553Z,SHORT,26681.5,26721.5,fixed_SL,-40,0
2026-04-21T18:56:00.770Z,SHORT,26681.5,26721.5,runner_SL,-40,0
2026-04-22T12:37:00.503Z,LONG,26890.75,26850.75,fixed_SL,-40,0
2026-04-22T12:37:00.632Z,LONG,26890.75,26850.75,runner_SL,-40,0
2026-04-22T13:21:00.580Z,SHORT,26830,26870,fixed_SL,-40,0
2026-04-22T13:21:00.728Z,SHORT,26830,26870,runner_SL,-40,0
2026-04-24T12:39:00.588Z,SHORT,27286.75,27246.75,fixed_TP,40,0
2026-04-24T12:51:00.630Z,SHORT,27274.25,27234.25,fixed_TP,40,0
2026-04-24T13:32:00.517Z,SHORT,27241,27201,fixed_TP,40,0
2026-04-24T13:33:00.397Z,SHORT,27233.75,27193.75,fixed_TP,40,0
2026-04-24T13:46:00.400Z,LONG,27247,27207,fixed_SL,-40,0
2026-04-24T13:46:00.519Z,LONG,27247,27207,runner_SL,-40,0
2026-04-24T13:57:00.409Z,SHORT,27204,27164,fixed_TP,40,0
2026-04-24T14:01:00.465Z,SHORT,27204,27194,runner_SL,10,0
2026-04-24T14:28:00.665Z,LONG,27228.5,27188.5,fixed_SL,-40,0
2026-04-24T14:28:00.797Z,LONG,27228.5,27188.5,runner_SL,-40,0
